surface,reading,romaji,pos,frequency,short_translation,detailed_translation,used_in_sentence
早く,ハヤク,hayaku,形容詞-一般,1,fast,The term '早く' primarily means 'fast' or 'quickly' and can be used to describe an action done swiftly or ahead of time. It suggests a speediness or promptness in completing a task or response.,彼は早く走ります。
昔,ムカシ,mukashi,名詞-普通名詞-副詞可能,1,past,"In English, this word '昔' typically refers to the past, often denoting a time long ago or in olden days. It can also convey nostalgia or a sense of ancient times.",昔、ここには城がありました。
開け,アケ,hirake,動詞-一般,1,open,"The word '開け' is a verb that means to open, such as opening a door, window, or any other kind of container or space. It implies an action of making something accessible or allowing entry.",ドアを開けてください。
違う,チガウ,chigau,動詞-一般,1,differ,To differ or to be different. It is used to indicate when something is not the same or does not match an expectation.,それは私が聞いた話とは違う。
過ぎ,スギ,sugi,動詞-非自立可能,1,exceed,"The verb '過ぎ' (sugi) in its non-autonomous form is typically used to indicate 'to pass' or 'to exceed', often used with time or degrees, like 'past a certain time' or 'exceeding a limit'. It frequently appears in expressions like 'too much' or 'going beyond' when following adjectives or verbs.",電車が行き過ぎました。
連れ戻す,ツレモドス,tsure,動詞-一般,1,bring back,To return something or someone to its original place or condition. Often used in contexts where someone is being retrieved and brought back to a location they previously left.,彼は迷子になった猫を連れ戻した。
返し,カエシ,kaeshi,動詞-一般,1,return,"The word '返し' refers to the act of returning something to its original state or place. It can mean to give back, repay, or reflect back.",彼は本を図書館に返しに行った。
近づける,チカズケル,chikazu,動詞-一般,1,approach,To bring something closer or to make something approach. It can refer to physically moving an object closer or to figuratively approaching an idea or concept.,私は彼に近づけるために歩きました。
身,ミ,mi,名詞-普通名詞-一般,1,body,The word '身' (mi) in Japanese can mean 'body' or 'oneself.' It often refers to the physical body or is used metaphorically to indicate one's whole being or identity. It can also mean 'flesh' or 'meat' in some contexts.,彼は自分の身を守るために逃げた。
足止め,アシドメ,ashidome,名詞-普通名詞-サ変可能,1,blockade,"A situation in which movement is restricted or stopped, often used to describe preventing someone from leaving or going somewhere, such as due to bad weather or a roadblock.",彼は大雨のため、空港で足止めを食らった。
足手,アシデ,ashide,名詞-普通名詞-一般,1,hindrance,"A term referring to something or someone that acts as an obstacle or burden, limiting progress or causing difficulty.",新しい計画に足手が加わらないようにしましょう。
超え,コエ,koe,動詞-一般,1,exceed,"To surpass a limit or boundary, or to go beyond a certain point or standard.",彼は予想を超えて成功した。
起き,オキ,oki,動詞-一般,1,wake up,The verb '起き' means 'to wake up' or 'to get up'. It describes the action of becoming alert and rising from sleep. It can also imply getting out of bed.,朝6時に起きます。
課題,カダイ,kadai,名詞-普通名詞-一般,1,task,"An issue, task, or problem that needs to be addressed or solved. It can refer to assignments in educational settings or challenges in both personal and professional contexts.",この課題を来週までに提出してください。
説教,セッキョー,sekkyou,名詞-普通名詞-サ変可能,1,sermon,"A sermon refers to a speech or discourse which is often religious in nature, delivered by a preacher to offer guidance. It can also imply giving someone a lecture or reprimanding them, often with a moralizing tone.",彼は教会で日曜日に説教を聞いた。
話,ハナシ,hanashi,名詞-普通名詞-サ変可能,1,talk,"It means 'talk' or 'conversation' and can be used in various contexts such as a formal discussion, an informal chat, or a story being told.",彼との話が楽しかった。
証し,アカシ,shoushi,名詞-普通名詞-一般,1,proof,"""証し"" means evidence or proof, something that serves as a demonstration of truth or verification.",彼の成功は努力の証しです。
訳,ワケ,wake,名詞-普通名詞-一般,1,translation,Translation refers to the process of converting text or speech from one language into another. It can also mean interpretation or meaning in a particular context.,この文章の訳は少し難しい。
許さ,ユルサ,yurusa,動詞-一般,1,allow,To permit or give permission for something to happen or to be done; to forgive or condone.,彼の失礼な発言を許さない。
記し,シルシ,shirushi,動詞-一般,1,write,To write or record something down for the purpose of documentation or memorization.,彼は日記にその出来事を記した。
言い広め,イーヒロメ,ii,動詞-一般,1,spread,"To spread information, news, or rumors widely; to propagate by word of mouth.",彼はその知らせを町中に言い広めた。
解放,カイホー,kaihou,名詞-普通名詞-サ変可能,1,release,"The act of liberating, freeing, or letting go of something or someone. It can refer to the removal of restrictions or obstacles, granting freedom or rights.",彼は長い囚われの生活から解放された。
覚え,オボエ,oboe,動詞-一般,1,remember,"To memorize or learn something so it can be recalled in the future. It can also mean to feel or perceive, to think or recall an experience.",学生はテストのためにたくさんの単語を覚えなければならない。
見つけ,ミツケ,mitsu,動詞-一般,1,find,"The word '見つけ' is the stem or continuative form of the verb '見つける' which means 'to find,' 'to discover,' or 'to locate.' It can refer to the act of coming across something unexpectedly or locating something that was being searched for.",彼は財布を見つけた。
見せれ,ミセレ,mise,動詞-非自立可能,1,show,To let someone see something; to exhibit or display an object or information to another person.,彼は新しい作品を見せれた。
見せ,ミセ,mise,動詞-非自立可能,1,show,"'Mise' is a verb meaning to show or to display something to someone. It often implies presenting or illustrating information, an object, or a demonstration.",彼は新しい車を見せびらかした。
間違い,マチガイ,machigai,名詞-普通名詞-一般,1,mistake,"An error or fault made during a process or action, indicating a misunderstanding or incorrect action.",彼の間違いで会議は延期された。
隣,トナリ,tonari,名詞-普通名詞-一般,1,neighbor,"Can refer to someone or something that is adjacent or next to another person or thing, often used to describe a spatial relationship.",彼の隣に座った。
集まっ,アツマッ,atsuma,動詞-一般,1,gather,To come together or assemble in one place for a common purpose.,人々が公園に集まっている。
ﾋﾅﾀ,ﾋﾅﾀ,hinata,名詞-普通名詞-一般,1,sunny place,"A place that is exposed to the sun, usually referring to a sunny or sunlit area.",家の近くに小さなヒナタがあります。
ﾉｯｸ,ﾉｯｸ,nokku,名詞-普通名詞-一般,1,knock,A sound made by a hand or object hitting a surface like a door. It implies the act of striking a surface to gain attention.,彼はドアをﾉｯｸしてから部屋に入った。
ﾅﾙﾄ,ﾅﾙﾄ,naruto,名詞-普通名詞-一般,1,Naruto,"Naruto is a popular Japanese manga and anime series created by Masashi Kishimoto, featuring the titular character, Naruto Uzumaki, a young ninja with dreams of becoming the Hokage.",テレビでナルトを見た。
ｼｶﾏﾙ,ｼｶﾏﾙ,shikamaru,名詞-普通名詞-一般,1,Shikamaru,"Shikamaru is a personal name commonly used in Japanese culture, notably as a character's name in the anime and manga series 'Naruto'.",昨日、友達のシカマルと遊んだ。
ｻｽｹ,ｻｽｹ,sasuke,名詞-普通名詞-一般,1,Sasuke,"Sasuke is commonly used as a masculine given name in Japan. It is most famously associated with the character Sasuke Uchiha from the manga and anime series 'Naruto.' The name can also refer to historical figures such as Sarutobi Sasuke, a popular character from Japanese folklore.",彼の名前はサスケです。
ｵｰﾌﾟﾆﾝｸﾞﾃｰﾏ,ｵｰﾌﾟﾆﾝｸﾞﾃｰﾏ,o゜fu,名詞-普通名詞-一般,1,opening theme,"An introductory piece of music or melody, typically played at the beginning of a show or event. It sets the tone or theme for what follows.",アニメのオープニングテーマが新しくなりました。
ｴﾝﾃﾞｨﾝｸﾞﾃｰﾏ,ｴﾝﾃﾞｨﾝｸﾞﾃｰﾏ,endingute゜ma,名詞-普通名詞-一般,1,ending theme,"An 'ending theme' refers to the music or song played at the end of a TV show, movie, or video game. It typically accompanies the closing credits or serves as the concluding musical finale for the production.",アニメのｴﾝﾃﾞｨﾝｸﾞﾃｰﾏはとても感動的だった。
ｲﾜﾅ,ｲﾜﾅ,iwana,名詞-普通名詞-一般,1,char,"A type of fish known as 'char' or 'iwana' in Japanese, typically found in cold freshwater rivers and streams. It belongs to the salmon family.",川で大きなイワナを釣った。
集め,アツメ,atsume,動詞-一般,1,Collect,"To gather or bring together things or people, often for a particular purpose. This action involves accumulating items or individuals, usually organized or focused towards achieving something.",彼は切手を熱心に集めています。
１人,ヒトリ,1,名詞-普通名詞-副詞可能,1,one person,"Refers to a single individual or person; can also imply doing something alone, as an adverb.",彼は１人で旅行に出かけました。
高等,コートー,koutou,形状詞-一般,1,high-grade,"Refers to something of higher rank, quality, or level. It can be used in contexts like education (as in secondary school) or describing an elevated quality or standard.",彼は高等教育を受けた。
願い,ネガイ,negai,動詞-非自立可能,1,wish,"The word '願い' serves as an auxiliary verb used to express a wish, desire, or hope for something to happen or be done. It can imply a heartfelt request or an earnest desire.",彼は彼女の幸せを願っている。
顔,カオ,kao,名詞-普通名詞-一般,1,face,"The word '顔' translates to 'face' in English, referring to the front part of a person's or animal's head featuring the eyes, nose, and mouth. It is commonly used to denote expressions, identity, or appearance.",彼の顔はとても優しい。
額当て,ヒタイアテ,hitai,名詞-普通名詞-一般,1,headband,A '額当て' (hidate) refers to a headband often used to protect or decorate the forehead. It can also be a part of certain traditional or ceremonial attire.,彼は額当てをつけて、祭りに参加した。
音,オト,oto,名詞-普通名詞-一般,1,sound,"Refers to a noise, tone, or auditory sensation. Can be used to describe music, ambient noise, or any audible signal.",鳥の音が聞こえます。
見,ミ,ken,動詞-非自立可能,1,see,"The verb '見' (mi) in Japanese commonly means 'to see' or 'to look'. As an auxiliary or non-independent verb form, it can be used in compound verbs to express the action of trying to do something or having a look/trying to see.",この映画を見てみたい。
要する,ヨースル,yousu,動詞-一般,1,require,To require or need something; often used in contexts where something is necessary or takes a certain amount of time or resources.,このプロジェクトは完成に三ヶ月を要する。
褒め,ホメ,home,動詞-一般,1,praise,To express admiration or approval for someone or something. It involves complimenting or giving positive feedback.,彼女は友達の努力を褒めた。
気持ち,キモチ,kimochi,名詞-普通名詞-一般,1,feeling,"An emotional state or reaction; refers to one's inner experience or sentiment, including both physical sensations and emotional experiences.",彼は自分の気持ちを表現するのが苦手です。
狙っ,ネラッ,neratsu,動詞-一般,1,aim,"To aim or target something, usually with intention or purpose. It implies directing one's efforts or actions towards achieving a specific goal.",彼は高い目標を狙っています。
特に,トクニ,tokuni,副詞,1,especially,The word '特に' means 'especially' or 'in particular'. It is used to highlight something that stands out from others or has a greater emphasis or importance.,彼は特に数学が得意です。
物音,モノオト,monooto,名詞-普通名詞-一般,1,sound,"A noise or sound, usually referring to an unidentified or generic sound in the environment.",夜に物音が聞こえた。
煙た,ケムタ,kemuri,形容詞-一般,1,smoky,"Describing something that is filled with smoke or has a smoke-like quality. It can also imply a feeling of being awkward or uncomfortable around someone, similar to feeling uneasy in smoke.",部屋が煙たくて息苦しい。
渡せ,ワタセ,watase,動詞-一般,1,hand over,"The verb ""渡せ"" means 'to hand over' or 'to pass'. It can also imply transferring something to someone else or delivering an object.",彼にこれを渡せばいい。
渡し,ワタシ,watashi,動詞-一般,1,hand over,"To give or pass something to someone, often involving the physical transfer of an object from one person to another.",私は書類を彼に渡しした。
渡さ,ワタサ,watasa,動詞-一般,1,hand over,"The verb '渡す' means to transfer, hand over, or pass something from one person to another. It implies giving or delivering something to someone else.",彼に本を渡さなければならない。
済ん,スン,sun,動詞-一般,1,end,"The verb '済ん' is a conjugated form of '済む', which means to finish, complete, or end a task or situation. It can also imply that something is satisfactory or sufficient.",その仕事はもう済んだ。
済まさ,スマサ,suma,動詞-一般,1,settle,"The verb ""済まさ"" is a form of ""済ます"" which means to finish, complete, settle, or get something done. It implies bringing something to an end or resolution.",あの問題を早く済まさないといけない。
活躍,カツヤク,katsuyaku,名詞-普通名詞-サ変可能,1,activity,The word '活躍' translates to 'activity' or 'to actively participate or excel in a certain field or task'. It often implies that someone is making significant contributions or achievements.,彼のチームでの活躍が評価されている。
泣き声,ナキゴエ,naki,名詞-普通名詞-一般,1,cry,"A sound made when crying; can refer to a cry, weeping sound, or a wail often made by humans, animals, or birds.",赤ちゃんは夜中に泣き声を上げた。
気味,キミ,kimi,名詞-普通名詞-一般,1,feeling,The word 気味 (kimo) refers to a feeling or sensation. It can also denote a tendency or a slight inclination towards something. It is often used to describe a subtle experience or disposition.,風邪気味なので、今日は早めに寝ます。
現れる,アラワレル,araware,動詞-一般,1,appear,"To become visible or to come into sight, often used when something becomes noticeable or starts to exist.",彼は突然現れた。
毛嫌い,ケギライ,gegirai,名詞-普通名詞-一般,1,prejudice,"A dislike or prejudice against someone or something for no specific reason, often irrational.",彼は毛嫌いでそれを避けている。
殺す,コロス,korosu,動詞-一般,1,kill,"To deprive of life, to cause the death of a living being. Can also imply eliminating or putting an end to something.",彼は虫を殺すのが嫌いです。
殴る,ナグル,naguru,動詞-一般,1,hit,To strike or punch someone or something with force. It can imply an aggressive or violent action.,彼は怒ってテーブルを殴った。
死に,シニ,shini,動詞-一般,1,die,"To cease living; to stop being alive or functioning. It can refer to literal death, as well as metaphorical concepts like 'the machine died'.",彼は戦場で死にました。
歴代,レキダイ,rekidai,名詞-普通名詞-一般,1,successive generations,The term '歴代' refers to successive generations or a series of people or leaders who have held a certain position over time. It can be used in contexts like 'past presidents' or 'successive rulers.',この博物館には歴代の天皇の肖像画があります。
歩,ホ,ho,名詞-普通名詞-助数詞可能,1,step,"A step is a single movement of the foot in walking, also used as a unit for counting steps or paces.",彼は一歩ずつ慎重に歩いた。
正体,ショータイ,shoutai,名詞-普通名詞-一般,1,identity,"'Shoutai' refers to the true identity or the real nature of a person or thing, often used to describe one's true character or the essence that is usually hidden or not immediately apparent.",彼の正体が明らかになった。
欲しけりゃ,ホシケリャ,hosshi,形容詞-非自立可能,1,want,indicates a desire or wish for something; often used in informal or conversational contexts to express wanting or needing something,欲しけりゃ、言えばいいのに。
本心,ホンシン,honshin,名詞-普通名詞-一般,1,true feelings,'本心' refers to a person's true feelings or genuine intentions. It is often used to contrast with outward appearances or expressed intentions.,彼は本心を隠していた。
最初,サイショ,saisho,名詞-普通名詞-副詞可能,1,beginning,The word '最初' means the beginning or the first part of something. It can also refer to the origin or the starting point. It is often used to denote the initial stage or when something first starts to happen.,彼は最初に来ました。
最低,サイテー,saitei,名詞-普通名詞-形状詞可能,1,worst,The word '最低' can mean 'lowest' or 'worst' in English. It often refers to something considered very poor in quality or the lowest in rank or value. It can also be used to describe the worst conditions or situations.,この中で最低の成績を取ったのは彼です。
春野,ハルノ,haruno,名詞-固有名詞-人名-姓,1,Haruno,"Haruno is a Japanese surname, and it is used as a family name in Japan.",私は春野さんと一緒に働いています。
生死,セーシ,seishi,名詞-普通名詞-一般,1,life and death,"Refers to the state of being alive versus being dead. It can also imply the importance or critical nature of a situation, often used in contexts implying high stakes, such as making a crucial decision.",彼の病状は生死の境を彷徨っている。
笑わ,ワラワ,warawa,動詞-一般,1,laugh,"The verb '笑わ' is a form of '笑う' (to laugh), indicating an action of laughing or chuckling. It can imply amusement or finding something funny.",彼女はその冗談を聞いて笑わないことができなかった。
行っ,イッ,itsu,動詞-非自立可能,1,go,"'行っ' is a conjugated form of the verb '行く' which means 'to go'. As a non-independent verb form, it often attaches to other verbs or auxiliaries in a sentence to indicate direction or intention of movement.",毎朝学校へ行っています。
行く,イク,iku,動詞-非自立可能,1,go,"The verb '行く' (iku) is used to express the act of going or moving towards a destination. It is often used in both physical and metaphorical contexts, indicating movement or progression from one state to another.",私は学校に行く。
行き,イキ,iki,接尾辞-名詞的-一般,1,bound,"This is a noun-like suffix used to denote the destination one is heading to, often attached to the end of a place name.",東京行きの電車に乗ります。
英雄,エーユー,eiyuu,名詞-普通名詞-一般,1,hero,"Hero is a term for a person distinguished by courage, outstanding achievements, or noble qualities. In various contexts, it can refer to someone who is admired for their brave deeds or noble qualities, often seen in literature, movies, or history.",彼はその町の英雄として知られている。
苦しみ,クルシミ,kurushi,名詞-普通名詞-一般,1,suffering,"Suffering refers to the state of enduring pain, distress, or hardship. It can encompass physical, emotional, or mental suffering and may manifest as anguish, misery, or torment.",彼のための苦しみが終わった。
自力,ジリキ,jiriki,名詞-普通名詞-一般,1,independence,The ability or effort to accomplish something by oneself without relying on others. It can also imply self-sufficiency or personal strength.,彼は自力で問題を解決しました。
育っ,ソダッ,sodatsu,動詞-一般,1,grow,"Refers to the act of growing or developing, often used in contexts such as children or plants growing up and maturing. In a broader sense, it could also be used to describe things that are cultivated or nurtured over time.",彼は田舎で育った。
者,シャ,mono,接尾辞-名詞的-一般,1,person,"A suffix used to denote a person, often translating to someone who practices or possesses certain qualities.",彼は健闘者として皆に尊敬されている。
考え,カンガエ,kangae,動詞-一般,1,think,To consider or reason about something in the mind; to evaluate or deliberate over something mentally.,彼は新しいプロジェクトについて考えています。
罰当たり,バチアタリ,batsu,名詞-普通名詞-形状詞可能,1,punishment-deserving,A term used to describe someone who deserves punishment or is likely to face divine retribution for their actions or behavior. It implies a level of wrongdoing warranting negative consequences.,彼は罰当たりなことをしてしまった。
練習,レンシュー,renshuu,名詞-普通名詞-サ変可能,1,practice,"The act or process of rehearsing, repeating an activity in order to improve skill or proficiency.",毎日練習を欠かさず続けています。
絶対,ゼッタイ,zettai,名詞-普通名詞-副詞可能,1,absolutely,"The word ""絶対"" (zettai) can mean ""absolutely,"" ""definitely,"" or ""without a doubt."" It can be used as a noun to denote something that is absolute or as an adverb meaning an unequivocal or certain manner, often used to stress certainty or emphasis.",この仕事を絶対に成功させたい。
簡単,カンタン,kantan,形状詞-一般,1,easy,"Simple or straightforward, not difficult to do or understand.",このテストはとても簡単です。
立つ,タツ,tatsu,動詞-一般,1,stand,"To stand means to be in an upright position on one's feet. It can also refer to getting up from a sitting or lying position, or to remain in a firm or fixed position.",彼はすぐに立った。
申す,モース,mousu,動詞-一般,1,say,A humble form of the verb 'to say' or 'to tell'. It is used to show respect or humility when speaking about oneself or one's own actions.,私が申すには...
突然,トツゼン,totsuzen,副詞,1,suddenly,"Abruptly or unexpectedly, without warning or preparation.",突然雨が降ってきた。
禁句,キンク,kinku,名詞-普通名詞-一般,1,taboo word,"A word or phrase that is considered unacceptable or prohibited to use due to social, cultural, or personal restrictions.",その話題は禁句だ。
禁じ手,キンジテ,kinjite,名詞-普通名詞-一般,1,forbidden move,"A forbidden move typically refers to an action or method that is banned or not permitted, especially in games or competitions due to its unfair advantage or rule violation.",そのプレイヤーは禁じ手を使ったため、失格になりました。
祝い,イワイ,iwai,名詞-普通名詞-一般,1,celebration,"A ceremony or social event to honor a specific occasion, commonly associated with joy and festivities, such as a birthday, wedding, or other significant events.",結婚のお祝いをしました。
破り,ヤブリ,yaburi,動詞-一般,1,tear,"To tear or rip something apart, often used in contexts where something is physically torn or metaphorically, such as breaking a promise.",彼は約束を破りました。
知ん,シン,shin,動詞-一般,1,know,"The word 知ん is an inflected form of 知る (shiru), which means 'to know' or 'to be aware of'. It is often used in casual or informal speech, and can imply understanding or recognition of something.",彼の名前は知んない。
知る,シル,shiru,動詞-一般,1,know,"To become aware of, to realize, to have knowledge about; it can also mean to be conscious or informed about something or someone.",彼はそのニュースを知った。
知らさ,シラサ,shira,動詞-一般,1,inform,To communicate information or knowledge about something to someone. Often used to indicate making someone aware of something.,彼は新しい規則について知らされた。
知っ,シッ,shitsu,動詞-一般,1,know,To perceive or understand as fact or truth; to have knowledge or awareness of something gained through experience or education.,私はそれを知っています。
目見,マミ,mami,名詞-普通名詞-一般,1,inspection,"A close examination or scrutiny, often used when someone checks or reviews something to ensure it is correct or satisfactory.",彼は新しい製品の目見を行った。
発,ハツ,hatsu,接尾辞-名詞的-一般,1,departure,"In Japanese, '発' (pronounced 'hatsu') is a suffix that indicates departure or leaving from a location. It is commonly used with time or location to specify the starting point of travel.",東京発の電車に乗ります。
痛,ツー,tsuu,接尾辞-名詞的-一般,1,pain,"Used as a suffix to denote something painful or related to pain, often figuratively as in 'painful event' or 'tragic'.",彼の失恋についての話は胸痛だった。
番,バン,ban,名詞-普通名詞-助数詞可能,1,number,"'番' can refer to a number in terms of an order, such as the first, second, or third item in a list or queue. It's often used in numbering systems or to denote a turn or position.",次の番はあなたです。
回,カイ,kai,名詞-普通名詞-助数詞可能,1,time,"In this context, '回' is used as a counter for occurrences or times something happens, such as 'three times' in English.",彼はその映画を三回見た。
こなし,コナシ,konashi,名詞-普通名詞-一般,1,handling,refers to the ability or skill in managing or dealing with various tasks or duties efficiently and effectively.,彼女は膨大な仕事量を難なくこなしている。
器用,キヨー,kiyou,形状詞-一般,1,skillful,"Skillful refers to having or showing skill; being talented or able, especially in physical or manual activities.",彼はとても器用で、何でもすぐにこなせます。
まぁ,マー,maa,副詞,1,well,"Typically used to express mild surprise, resignation, or exasperation. It can also soften statements or provide nuance, similar to 'well', 'I suppose', or 'let's see'.",まぁ、今日はそんなに忙しくないね。
どんな,ドンナ,donna,連体詞,1,what kind of,The word 'どんな' is a determiner used to ask or specify 'what kind of' or 'which type of' in relation to nouns. It is often used to inquire about the nature or type of something.,どんな音楽が好きですか？
ども,ドモ,domo,接尾辞-名詞的-一般,1,plural suffix,"The Japanese suffix 'ども' is used as a plural marker and is often added to nouns or pronouns to indicate plural forms, sometimes implying a sense of respect, formality, or derogation depending on the context.",子供どもが公園で遊んでいます。
どこ,ドコ,doko,代名詞,1,where,The word 'どこ' is used in Japanese as an interrogative pronoun to ask about the location or place of something. It can translate to 'where' in English.,あなたはどこに行きますか？
どくせ,ドクセ,dokuse,動詞-一般,1,exist,The verb 'どくせ' (doku-se) typically refers to having existence or possessing life or consciousness. It can imply being in a certain location or maintaining a presence.,彼はまだどくせしている。 (かれはまだどくせしている。He is still existing.)
どうし,ドーシ,doushi,接尾辞-名詞的-一般,1,verb,This suffix can be used to denote an action or to turn a noun into an action-related term. It is typically used in compound words to indicate actions or verbs.,新しい技術は様々な動詞と組み合わせることができます。
おい,オイ,oi,感動詞-一般,1,Hey,"An exclamation used to get someone's attention, to call out to someone, or to show surprise or emphasis.",おい、ちょっと待って！
とっておき,トッテオキ,totteoki,名詞-普通名詞-一般,1,reserve,"A special or saved item, often used to describe something kept aside for a particular purpose or occasion.",彼はとっておきのワインを開けた。
とっ,トッ,totsu,動詞-一般,1,took,"The word 'とっ' is a colloquial contraction of the past tense form of the verb '取る' (toru), which means 'to take' or 'to pick up.' It refers to the action of having taken something. In casual speech, this contraction is sometimes used for emphasis or informality.",彼はペンをとっちゃった。
ところ,トコロ,tokoro,名詞-普通名詞-副詞可能,1,place,"A noun that can mean 'place' in the context of a physical or metaphorical location. It can also imply a point in time or stage in progress, contextually acting as an adverb or part of an adverbial phrase.",行くところがたくさんあります。
とき,トキ,toki,名詞-普通名詞-副詞可能,1,time,A specific moment or period when something happens or is done.,楽しいときはあっという間に過ぎる。
とい,トイ,toi,助動詞,1,if,"An auxiliary verb used to indicate conditional or hypothetical statements, similar to 'if' or 'when' in English. It is often used to express assumptions or suppositions.",もしそれが本当だといったら、どうしますか？
おかしい,オカシー,okashii,形容詞-一般,1,funny,"The word 'おかしい' can mean 'funny' in the sense of humorous or amusing, but it can also mean 'strange' or 'odd', indicating something unusual or abnormal.",彼の話はとてもおかしい。
でよ,デヨ,deyo,動詞-一般,1,be good,"In informal or casual contexts, 'でよ' can be used to reassure someone that something is okay or permissible. It can also indicate agreement or acceptance.",それでよ。
でたらめ,デタラメ,detarame,名詞-普通名詞-形状詞可能,1,nonsense,"Something that is spoken or written without meaning, often illogical or not true, and can refer to an action or practice that is random or not based on reason.",彼の話はでたらめだった。
おき,オキ,oki,動詞-一般,1,place,"To put something in a particular position or location, often with an intention or purpose. It can also imply setting up or establishing something.",物を棚におきました。
できる,デキル,dekiru,動詞-非自立可能,1,can,"The word 'できる' means 'can' in English, indicating the ability or possibility to do something. It is used to express capability or potentiality and is an auxiliary verb often used in combination with other verbs.",私は日本語を話すことができます。
で,デ,de,接続詞,1,and,"Used to connect words or phrases in a sentence, often indicating a sequence or combination of actions or states.",彼は学校に行って、でそこで友達に会いました。
おっ,オッ,otsu,動詞-非自立可能,1,oops,"This interjection is used to express mild surprise, embarrassment, or acknowledgment of a small mistake. It's often an informal reaction when something goes slightly wrong.",彼はおっとうっかり皿を落とした。
おまけ,オマケ,omake,名詞-普通名詞-一般,1,freebie,"An extra item or bonus given for free, often included with a purchase to encourage customers or add value.",この商品にはおまけがついています。
かけろ,カケロ,kakero,動詞-非自立可能,1,suspend,"The verb 'かけろ' (kakero) can refer to the act of hanging, suspending, or applying something. It often functions in a way that relies on other words or context to be complete, indicating actions like putting on, applying or starting an action.",彼はコートを壁にかけろと言った。
てん,テン,ten,助動詞,1,however,"This auxiliary verb is often used to indicate contrast or objection, similar to 'however' in English, or to express a reason or cause.",彼は来ると言ってたけど、来てんかった。
かばっ,カバッ,kabatsu,動詞-一般,1,protected,To shield or defend someone or something from harm or danger.,彼は友達をかばった。
てりゃ,テリャ,terya,助動詞,1,if,"The auxiliary verb 'てりゃ' is a contraction of 'て + いれば', which is used to express a hypothetical condition or an 'if' situation. It adds a conditional meaning to the sentence.",雨が降ってりゃ、外に出ない方がいい。
てぇ,テー,tee,助詞-接続助詞,1,and,"The word 'てぇ' is a conjunctional particle used to indicate a connection or addition between clauses or sentences, similar to 'and' or 'then' in English.",今日は雨が降ってぇ、風も強い。
かんだい,カンダイ,kandai,形状詞-一般,1,generous,"The word '寛大' (かんだい) translates to 'generous' in English. It refers to a quality of being kind, forgiving, and tolerant, often implying a willingness to give or share freely, or to be lenient in judgment or punishment.",その教師は生徒たちに対して非常に寛大です。
がっ,ガッ,gatsu,副詞,1,firmly,"Denotes a firm or strong action, often used to imply a firm grip or attachment.",彼は腕をがっとつかんだ。
つらい,ツライ,tsurai,形容詞-一般,1,painful,Describes a feeling or experience that is difficult or emotionally challenging. Can also indicate physical discomfort.,昨日の運動は本当につらかった。
つもり,ツモリ,tsumori,名詞-普通名詞-一般,1,intention,"In a more detailed sense, 'つもり' refers to one's intention, plan, or what they mean to do. It conveys a sense of having a specific plan or purpose in mind.",彼は明日行くつもりです。
えらい,エライ,erai,形容詞-一般,1,great,"Often used to describe someone as great, admirable, important, or superior. It can also imply a sense of being extraordinary or significant.",彼はえらい仕事を成し遂げた。
な,ナ,na,記号-一般,1,ending particle,'な' is a particle often used at the end of sentences in colloquial Japanese to seek agreement or confirmation. It can also express a sense of reflection or exclamation in certain contexts.,今日は暑いな。
えっ,エッ,etsu,感動詞-一般,1,Huh?,"An expression used to show surprise, shock, or disbelief. It can also be used to ask someone to repeat what they said.",えっ、何が起こったの？
いや,イヤ,iya,感動詞-一般,1,No,"Expresses a strong negation or refusal, similar to saying 'no' or 'not at all' in English. It can also be used to express disagreement or disapproval.",いや、それは違うよ。
ま,マ,ma,名詞-普通名詞-助数詞可能,1,gap,"The Japanese word 'ま' can refer to a gap, space, or interval in time or between objects. It also can imply a break or pause, like in conversations or actions.",それぞれのページの間に少しのまがあります。
ほら,ホラ,hora,名詞-普通名詞-一般,1,Hey,"An interjection used to grab someone's attention or to point something out, similar to 'look', 'hey', or 'see'.",ほら、あそこにあるよ！
ほしかっ,ホシカッ,hoshikatsu,形容詞-非自立可能,1,wanted,"'ほしかっ' is a conjugated form of the adjective '欲しい' (hoshii), meaning 'to want'. It is used to express a past desire, often in contexts like 'I wanted'. The form 'ほしかった' (hoshikatta) is the standard past tense.",彼は新しい車がほしかった。
ほしい,ホシー,hoshii,形容詞-非自立可能,1,want,This word expresses a desire or wish for something. It is often used to indicate that the subject wants or desires a particular thing or outcome.,私は新しい車がほしいです。
ほざく,ホザク,hozaku,動詞-一般,1,blabber,"To say something foolish or nonsensical. It often implies speaking without thought or consideration, sometimes with an element of boasting or exaggeration.",彼はくだらないことをほざいている。
べろべろ,ベロベロ,berobero,副詞,1,drunk,Indicates a state of being very drunk or heavily intoxicated.,彼は昨日の夜、べろべろに酔っていました。
ぶっ倒し,ブッタオシ,butsu,動詞-一般,1,knock down,"To knock something or someone down, often with force, or to cause to fall over. It implies a physical or metaphorical action of overwhelming or defeating.",彼は敵をぶっ倒した。
び,ビ,bi,記号-一般,1,bi,"The word 'び' does not have a direct English counterpart. It can be used in various contexts, often as a suffix or a part of other words in Japanese. Its meaning changes depending on the context, and it can represent a sound or an emotive expression. In some contexts, it may be related to the sound of an injury or impact.",彼は泣いて「びえーん」と言った。
ひょっと,ヒョット,hyotto,副詞,1,suddenly,Indicates an action or event happening unexpectedly or without warning.,彼はひょっと顔をあげた。
